iter	Passed	Remaining
189	2218	9459
190	2229	9442
191	2240	9427
192	2250	9408
193	2259	9385
194	2269	9368
195	2277	9343
196	2288	9326
197	2296	9302
198	2307	9286
199	2320	9282
200	2334	9280
201	2343	9258
202	2353	9240
203	2362	9219
204	2372	9200
205	2382	9182
206	2391	9161
207	2401	9144
208	2411	9127
209	2422	9114
210	2432	9097
211	2441	9076
212	2452	9063
213	2461	9039
214	2471	9022
215	2480	9003
216	2491	8988
217	2502	8978
218	2512	8961
219	2521	8940
220	2533	8928
221	2541	8905
222	2551	8890
223	2560	8869
224	2569	8849
225	2579	8835
226	2588	8815
227	2598	8800
228	2608	8783
229	2620	8774
230	2631	8760
231	2639	8737
232	2651	8727
233	2662	8714
234	2670	8692
235	2681	8679
236	2688	8656
237	2700	8645
238	2710	8630
239	2719	8612
240	2729	8595
241	2737	8574
242	2749	8565
243	2759	8550
244	2768	8530
245	2778	8517
246	2787	8496
247	2798	8486
248	2812	8481
249	2821	8464
250	2832	8452
251	2843	8440
252	2852	8422
253	2862	8408
254	2872	8391
255	2882	8376
256	2892	8360
257	2900	8341
258	2910	8325
259	2919	8308
260	2930	8297
261	2940	8282
262	2950	8267
263	2961	8256
264	2971	8240
265	2981	8226
266	2991	8212
267	3000	8194
268	3011	8183
269	3021	8169
270	3029	8149
271	3040	8137
272	3048	8118
273	3060	8109
274	3071	8098
275	3082	8084
276	3100	8092
277	3114	8089
278	3126	8078
279	3138	8070
280	3148	8057
281	3162	8052
282	3176	8047
283	3186	8032
284	3195	8017
285	3206	8005
286	3218	7996
287	3227	7979
288	3238	7966
289	3246	7947
290	3256	7935
291	3264	7915
292	3277	7908
293	3287	7894
294	3295	7875
295	3306	7864
296	3316	7849
297	3324	7831
298	3334	7818
299	3343	7802
300	3353	7788
301	3363	7773
302	3374	7763
303	3384	7748
304	3392	7730
305	3401	7715
306	3410	7698
307	3420	7685
308	3428	7667
309	3440	7656
310	3449	7643
311	3458	7626
312	3469	7615
313	3477	7598
314	3489	7587
315	3499	7575
316	3507	7557
317	3517	7544
318	3526	7528
319	3536	7515
320	3547	7503
321	3555	7486
322	3566	7474
323	3574	7458
324	3585	7446
325	3595	7433
326	3604	7418
327	3615	7407
328	3630	7404
329	3639	7389
330	3649	7376
331	3658	7360
332	3668	7347
333	3677	7333
334	3687	7319
335	3698	7308
336	3706	7292
337	3717	7280
338	3726	7265
339	3735	7250
340	3745	7238
341	3753	7222
342	3765	7212
343	3776	7202
344	3785	7186
345	3795	7174
346	3805	7160
347	3815	7148
348	3830	7144
349	3840	7131
350	3850	7119
351	3860	7106
352	3870	7094
353	3880	7081
354	3889	7066
355	3901	7056
356	3911	7045
357	3919	7029
358	3931	7018
359	3941	7006
360	3949	6991
361	3960	6980
362	3968	6964
363	3979	6953
364	3989	6940
365	3998	6926
366	4009	6916
367	4020	6904
368	4032	6896
369	4043	6884
370	4052	6870
371	4062	6857
372	4070	6842
373	4082	6833
374	4097	6829
375	4111	6823
376	4125	6818
377	4136	6805
378	4149	6799
379	4164	6795
380	4178	6788
381	4191	6780
382	4207	6778
383	4218	6767
384	4231	6760
385	4244	6751
386	4256	6742
387	4268	6732
388	4280	6723
389	4291	6712
390	4310	6713
391	4322	6703
392	4333	6693
393	4344	6681
394	4353	6668
395	4363	6654
396	4372	6641
397	4380	6626
398	4391	6615
399	4400	6600
400	4409	6586
401	4424	6581
402	4432	6566
403	4441	6552
404	4452	6541
405	4461	6526
406	4470	6514
407	4480	6500
408	4490	6488
409	4499	6474
410	4508	6460
411	4518	6448
412	4527	6434
413	4539	6424
414	4548	6412
415	4558	6398
416	4568	6387
417	4576	6372
418	4587	6361
419	4598	6350
420	4606	6335
421	4617	6325
422	4631	6317
423	4640	6303
424	4650	6291
425	4659	6278
426	4669	6265
427	4679	6253
428	4688	6240
429	4698	6227
430	4706	6213
431	4716	6201
432	4725	6188
433	4735	6175
434	4743	6161
435	4756	6152
436	4767	6142
437	4775	6128
438	4787	6117
439	4796	6104
440	4805	6090
441	4823	6089
442	4836	6081
443	4847	6070
444	4857	6058
445	4869	6048
446	4880	6037
447	4889	6024
448	4901	6015
449	4911	6003
450	4920	5989
451	4929	5976
452	4943	5969
453	4952	5956
454	4967	5950
455	4977	5937
456	4986	5925
457	4997	5913
458	5005	5899
459	5015	5888
460	5025	5876
461	5033	5861
462	5047	5854
463	5056	5841
464	5068	5831
465	5078	5819
466	5088	5807
467	5098	5795
468	5108	5783
469	5117	5770
470	5126	5758
471	5135	5744
472	5147	5735
473	5159	5725
474	5167	5711
475	5183	5706
476	5195	5696
477	5203	5683
478	5219	5677
479	5228	5664
480	5238	5652
481	5246	5638
482	5257	5627
483	5268	5616
484	5281	5608
485	5292	5597
486	5302	5585
487	5312	5574
488	5322	5562
489	5331	5549
490	5340	5536
491	5349	5523
492	5361	5514
493	5373	5504
494	5382	5490
495	5396	5483
496	5406	5472
497	5415	5459
498	5426	5448
499	5437	5437
500	5445	5423
501	5455	5412
502	5464	5399
503	5474	5387
504	5483	5375
505	5494	5364
506	5507	5355
507	5516	5342
508	5525	5330
509	5535	5318
510	5543	5305
511	5555	5294
512	5563	5281
513	5574	5270
514	5585	5259
515	5594	5247
516	5609	5240
517	5622	5231
518	5633	5220
519	5644	5210
520	5655	5199
521	5663	5185
522	5674	5175
523	5685	5164
524	5694	5151
525	5705	5141
526	5716	5130
527	5726	5119
528	5737	5108
529	5745	5094
530	5755	5083
531	5767	5073
532	5775	5060
533	5785	5048
534	5794	5036
535	5805	5025
536	5819	5017
537	5831	5007
538	5839	4994
539	5851	4984
540	5859	4971
541	5869	4960
542	5877	4946
543	5887	4935
544	5899	4925
545	5907	4912
546	5918	4901
547	5929	4890
548	5937	4877
549	5947	4866
550	5957	4854
551	5970	4845
552	5979	4833
553	5987	4820
554	5998	4809
555	6007	4797
556	6020	4788
557	6031	4777
558	6040	4765
559	6049	4753
560	6057	4740
561	6069	4729
562	6079	4718
563	6087	4705
564	6099	4695
565	6110	4685
566	6120	4673
567	6132	4664
568	6141	4651
569	6149	4639
570	6162	4629
571	6171	4617
572	6180	4606
573	6192	4595
574	6201	4583
575	6211	4572
576	6221	4560
577	6233	4550
578	6243	4539
579	6253	4528
580	6263	4516
581	6271	4503
582	6282	4493
583	6292	4482
584	6300	4469
585	6315	4461
586	6332	4455
587	6346	4446
588	6358	4436
589	6368	4425
590	6382	4417
591	6395	4407
592	6409	4399
593	6425	4391
594	6440	4383
595	6457	4377
596	6471	4368
597	6483	4358
598	6498	4350
599	6509	4339
600	6521	4329
601	6532	4318
602	6546	4310
603	6560	4301
604	6570	4289
605	6580	4278
606	6592	4268
607	6603	4257
608	6611	4245
609	6622	4234
610	6630	4221
611	6645	4212
612	6654	4201
613	6666	4191
614	6676	4179
615	6687	4168
616	6696	4156
617	6707	4146
618	6715	4133
619	6725	4121
620	6735	4110
621	6744	4098
622	6756	4088
623	6767	4078
624	6776	4065
625	6786	4054
626	6796	4042
627	6810	4034
628	6823	4024
629	6833	4013
630	6842	4001
631	6852	3990
632	6863	3979
633	6873	3968
634	6883	3956
635	6892	3944
636	6901	3933
637	6909	3920
638	6919	3909
639	6927	3896
640	6939	3886
641	6950	3875
642	6958	3863
643	6969	3852
644	6977	3840
645	6988	3829
646	6998	3818
647	7008	3806
648	7017	3795
649	7026	3783
650	7036	3771
651	7044	3760
652	7053	3748
653	7064	3737
654	7074	3726
655	7084	3715
656	7092	3702
657	7103	3692
658	7112	3680
659	7120	3668
660	7131	3657
661	7141	3646
662	7151	3635
663	7163	3624
664	7171	3612
665	7184	3603
666	7194	3591
667	7202	3579
668	7217	3571
669	7227	3559
670	7235	3547
671	7245	3536
672	7253	3524
673	7263	3513
674	7273	3501
675	7284	3491
676	7294	3480
677	7304	3468
678	7313	3457
679	7321	3445
680	7331	3434
681	7341	3423
682	7352	3412
683	7363	3401
684	7371	3389
685	7381	3378
686	7390	3367
687	7400	3356
688	7411	3345
689	7422	3334
690	7431	3323
691	7440	3311
692	7449	3300
693	7460	3289
694	7469	3278
695	7481	3267
696	7491	3256
697	7500	3245
698	7510	3234
699	7520	3222
700	7530	3212
701	7543	3202
702	7553	3191
703	7562	3179
704	7571	3168
705	7580	3156
706	7592	3146
707	7606	3136
708	7617	3126
709	7627	3115
710	7638	3104
711	7648	3093
712	7661	3083
713	7671	3073
714	7679	3061
715	7689	3050
716	7698	3038
717	7708	3027
718	7720	3017
719	7729	3006
720	7739	2994
721	7748	2983
722	7759	2972
723	7768	2961
724	7778	2950
725	7792	2940
726	7804	2930
727	7812	2918
728	7822	2908
729	7830	2896
730	7841	2885
731	7852	2874
732	7860	2863
733	7870	2852
734	7880	2841
735	7891	2830
736	7906	2821
737	7917	2810
738	7925	2799
739	7934	2787
740	7944	2776
741	7954	2765
742	7966	2755
743	7975	2744
744	7985	2733
745	7992	2721
746	8006	2711
747	8016	2700
748	8030	2691
749	8043	2681
750	8054	2670
751	8065	2659
752	8073	2648
753	8084	2637
754	8094	2626
755	8103	2615
756	8112	2604
757	8120	2592
758	8130	2581
759	8142	2571
760	8152	2560
761	8164	2550
762	8172	2538
763	8183	2528
764	8192	2516
765	8202	2505
766	8211	2494
767	8220	2483
768	8230	2472
769	8239	2461
770	8250	2450
771	8260	2439
772	8269	2428
773	8281	2418
774	8289	2406
775	8299	2395
776	8308	2384
777	8317	2373
778	8330	2363
779	8340	2352
780	8351	2341
781	8363	2331
782	8373	2320
783	8380	2309
784	8390	2297
785	8398	2286
786	8408	2275
787	8423	2266
788	8433	2255
789	8444	2244
790	8452	2233
791	8465	2223
792	8474	2212
793	8482	2200
794	8493	2190
795	8501	2178
796	8511	2168
797	8522	2157
798	8539	2148
799	8558	2139
800	8572	2129
801	8584	2119
802	8595	2108
803	8607	2098
804	8620	2088
805	8632	2077
806	8645	2067
807	8663	2058
808	8677	2048
809	8695	2039
810	8708	2029
811	8720	2018
812	8729	2007
813	8743	1997
814	8753	1987
815	8763	1976
816	8777	1966
817	8792	1956
818	8804	1945
819	8812	1934
820	8825	1924
821	8835	1913
822	8844	1902
823	8853	1891
824	8863	1880
825	8874	1869
826	8883	1858
827	8893	1847
828	8903	1836
829	8911	1825
830	8922	1814
831	8930	1803
832	8940	1792
833	8951	1781
834	8960	1770
835	8971	1759
836	8979	1748
837	8990	1737
838	9000	1727
839	9008	1715
840	9019	1705
841	9027	1694
842	9037	1683
843	9049	1672
844	9058	1661
845	9068	1650
846	9082	1640
847	9093	1629
848	9104	1619
849	9113	1608
850	9122	1597
851	9132	1586
852	9142	1575
853	9152	1564
854	9160	1553
855	9170	1542
856	9181	1532
857	9189	1520
858	9200	1510
859	9211	1499
860	9222	1488
861	9233	1478
862	9243	1467
863	9252	1456
864	9263	1445
865	9271	1434
866	9282	1423
867	9293	1413
868	9302	1402
869	9311	1391
870	9320	1380
871	9330	1369
872	9341	1358
873	9353	1348
874	9363	1337
875	9371	1326
876	9382	1315
877	9392	1305
878	9402	1294
879	9412	1283
880	9421	1272
881	9431	1261
882	9441	1251
883	9449	1240
884	9459	1229
885	9468	1218
886	9478	1207
887	9487	1196
888	9498	1185
889	9507	1175
890	9516	1164
891	9526	1153
892	9534	1142
893	9545	1131
894	9554	1120
895	9562	1109
896	9572	1099
897	9582	1088
898	9591	1077
899	9601	1066
900	9616	1056
901	9627	1045
902	9636	1035
903	9645	1024
904	9655	1013
905	9666	1002
906	9676	992
907	9685	981
908	9694	970
909	9705	959
910	9714	949
911	9724	938
912	9733	927
913	9743	916
914	9753	906
915	9762	895
916	9772	884
917	9783	873
918	9794	863
919	9804	852
920	9813	841
921	9825	831
922	9834	820
923	9843	809
924	9854	799
925	9862	788
926	9872	777
927	9881	766
928	9890	755
929	9898	745
930	9909	734
931	9921	723
932	9930	713
933	9940	702
934	9950	691
935	9958	680
936	9968	670
937	9976	659
938	9987	648
939	9995	638
940	10009	627
941	10019	616
942	10027	606
943	10039	595
944	10049	584
945	10057	574
946	10068	563
947	10076	552
948	10085	542
949	10094	531
950	10105	520
951	10115	510
952	10123	499
953	10137	488
954	10147	478
955	10155	467
956	10166	456
957	10174	446
958	10186	435
959	10195	424
960	10205	414
961	10214	403
962	10223	392
963	10233	382
964	10241	371
965	10253	360
966	10262	350
967	10271	339
968	10282	328
969	10290	318
970	10300	307
971	10308	296
972	10319	286
973	10329	275
974	10337	265
975	10347	254
976	10356	243
977	10366	233
978	10375	222
979	10384	211
980	10394	201
981	10404	190
982	10416	180
983	10425	169
984	10434	158
985	10444	148
986	10456	137
987	10468	127
988	10477	116
989	10485	105
990	10496	95
991	10504	84
992	10514	74
993	10526	63
994	10534	52
995	10544	42
996	10554	31
997	10565	21
998	10575	10
999	10583	0
